date,steps
3/1/2016,9568
3/2/2016,12300
3/3/2016,10655
3/4/2016,11966
3/5/2016,10115
3/6/2016,10922
3/7/2016,9476
3/8/2016,13225
3/9/2016,8623
3/10/2016,9834
3/11/2016,11039
3/12/2016,9320
3/13/2016,8227
3/14/2016,13412
3/15/2016,13844
3/16/2016,10855
3/17/2016,8144
3/18/2016,9880
3/19/2016,27707
3/20/2016,20189
3/21/2016,15109
3/22/2016,15911
3/23/2016,10024
3/24/2016,12839
3/25/2016,11484
3/26/2016,4081
3/27/2016,10963
3/28/2016,12677
3/29/2016,9698
3/30/2016,14525
3/31/2016,15595
4/1/2016,13875
4/2/2016,15870
4/3/2016,10918
4/4/2016,14569
4/5/2016,12664
4/6/2016,10654
4/7/2016,7231
4/8/2016,10276
4/9/2016,18445
4/10/2016,23428
4/11/2016,12324
4/12/2016,8790
4/13/2016,13733
4/14/2016,8621
4/15/2016,12502
4/16/2016,15360
4/17/2016,19840
4/18/2016,9134
4/19/2016,10826
4/20/2016,10681
4/21/2016,11370
4/22/2016,9133
4/23/2016,13497
4/24/2016,7838
4/25/2016,13110
4/26/2016,10187
4/27/2016,13051
4/28/2016,8195
4/29/2016,8203
4/30/2016,24499
5/1/2016,1534
5/2/2016,12994
5/3/2016,9636
5/4/2016,9942
5/5/2016,7873
5/6/2016,11139
5/7/2016,13083
5/8/2016,5773
5/9/2016,14949
5/10/2016,10510
5/11/2016,15204
5/12/2016,10860
5/13/2016,12282
5/14/2016,10208
5/15/2016,16872
5/16/2016,8663
5/17/2016,9076
5/18/2016,8388
5/19/2016,8079
5/20/2016,10727
5/21/2016,9864
5/22/2016,671
5/23/2016,15407
5/24/2016,13675
5/25/2016,12143
5/26/2016,14331
5/27/2016,11585
5/28/2016,17919
5/29/2016,4835
5/30/2016,1401
5/31/2016,0